Zipcode: "O, Score: PR@"
Zipcode: RICK0, Score: 0
Zipcode: N NY0, Score: 0
Zipcode: IL 62, Score: 0
Zipcode: N@, Score: 0
Zipcode: IA 13, Score: 0
Zipcode: BORO0, Score: 0
Zipcode: SEC 3, Score: 0
Zipcode: RM2, Score: 0
Zipcode: WISV9, Score: 0
Zipcode: NE8, Score: 0
Zipcode: ICK 3, Score: 0
Zipcode: 54  0, Score: 0
Zipcode: HA C6, Score: 0
Zipcode: BURG8, Score: 0
Zipcode: L CT8, Score: 0
Zipcode: IC8, Score: 0
Zipcode: TY O6, Score: 0
Zipcode: GAN 3, Score: 0
Zipcode: P SU6, Score: 0
Zipcode: LI5, Score: 0
Zipcode: COUN3, Score: 0
Zipcode: RLT8, Score: 0
Zipcode: 415 0, Score: 0
Zipcode: Y DE0, Score: 0
Zipcode: 006 0, Score: 0
Zipcode: COUR0, Score: 0
Zipcode: 36 0, Score: 0
Zipcode: L KY0, Score: 0
Zipcode: MIL5, Score: 0
Zipcode: N TU9, Score: 0
Zipcode: DG 10, Score: 0
Zipcode: RK0, Score: 0
Zipcode: E 8, Score: 0
Zipcode: Y CT8, Score: 0
Zipcode: GREE5, Score: 0
Zipcode: DAMS0, Score: 0
Zipcode: G PA0, Score: 0
Zipcode: C 299, Score: 0
Zipcode: OF P5, Score: 0
Zipcode: SHP 7, Score: 0
Zipcode: DG 60, Score: 0
Zipcode: RE N1, Score: 0
Zipcode: EE0, Score: 0
Zipcode: LDG 0, Score: 0
Zipcode: ANCO3, Score: 0
Zipcode: HOU2, Score: 0
Zipcode: F AZ0, Score: 0
Zipcode: DITI6, Score: 0
Zipcode: R 716, Score: 0
Zipcode: H DE0, Score: 0
Zipcode: IM  0, Score: 0
Zipcode: BER5, Score: 0
Zipcode: L 0, Score: 0
Zipcode: CH N3, Score: 0
Zipcode: S4, Score: 0
Zipcode: A 178, Score: 0
Zipcode: 930 0, Score: 0
Zipcode: TIN 3, Score: 0
Zipcode: 04  0, Score: 0
Zipcode: RIDA0, Score: 0
Zipcode: IEW 7, Score: 0
Zipcode: T 380, Score: 0
Zipcode: BLK0, Score: 0
Zipcode: A 026, Score: 0
Zipcode: EIM 3, Score: 0
Zipcode: DG 30, Score: 0
Zipcode: OWN 0, Score: 0
Zipcode: AL5, Score: 0
Zipcode: ABIN0, Score: 0
Zipcode: TO5, Score: 0
Zipcode: Y PA9, Score: 0
Zipcode: LIST5, Score: 0
Zipcode: Y CO0, Score: 0
Zipcode: US S5, Score: 0
Zipcode: E IL3, Score: 0
Zipcode: D CO4, Score: 0
Zipcode: A CY0, Score: 0
Zipcode: 19 T6, Score: 0
Zipcode: IL0, Score: 0
Zipcode: GOD 0, Score: 0
Zipcode: RE &0, Score: 0
Zipcode: KS 67, Score: 0
Zipcode: MON 3, Score: 0
Zipcode: LDWI5, Score: 0
Zipcode: D 217, Score: 0
Zipcode: 306 0, Score: 0
Zipcode: O 7, Score: 0
Zipcode: F ST1, Score: 0
Zipcode: E NY0, Score: 0
Zipcode: LU9, Score: 0
Zipcode: C6, Score: 0
Zipcode: U 5 4, Score: 0
Zipcode: WIN 1, Score: 0
Zipcode: D 4, Score: 0
Zipcode: E 6, Score: 0
Zipcode: NG P1, Score: 0
Zipcode: CO 8, Score: 0
Zipcode: OF S9, Score: 0
Zipcode: AL7, Score: 0
Zipcode: KE M1, Score: 0
Zipcode: NS8, Score: 0
Zipcode: A 713, Score: 0
Zipcode: Y TH5, Score: 0
Zipcode: VI 0, Score: 0
Zipcode: COR 7, Score: 0
Zipcode: ME9, Score: 0
Zipcode: "I, Score:   0"
Zipcode: NGHA4, Score: 0
Zipcode: ERSE3, Score: 0
Zipcode: UNT 6, Score: 0
Zipcode: X 776, Score: 0
Zipcode: T TO0, Score: 0
Zipcode: GONZ1, Score: 0
Zipcode: A  P9, Score: 0
Zipcode: RKS 3, Score: 0
Zipcode: JAC2, Score: 0
Zipcode: 820 0, Score: 0
Zipcode: DR 7, Score: 0
Zipcode: OM F6, Score: 0
Zipcode: EST0, Score: 0
Zipcode: TTS 0, Score: 0
Zipcode: H HS5, Score: 0
Zipcode: 91  0, Score: 0
Zipcode: FAR4, Score: 0
Zipcode: USIA0, Score: 0
Zipcode: 924 0, Score: 0
Zipcode: G   0, Score: 0
Zipcode: ONG 3, Score: 0
Zipcode: CH S3, Score: 0
Zipcode: EACH0, Score: 0
Zipcode: T NO9, Score: 0
Zipcode: RG P1, Score: 0
Zipcode: ET A3, Score: 0
